Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(PAL)
'n Verlore Verstand,Adventure,Skobbejak Games,Skobbejak Games,Unreleased,"December 6, 2018","December 6, 2018"
1-2-Switch,Party,Nintendo EPD,Nintendo,"March 3, 2017","March 3, 2017","March 3, 2017"
10 Second Ninja X,"Action platformer,Puzzle",Four Circle Interactive,Thalamus Digital,Unreleased,TBA,TBA
10 Second Run Returns,"Party,Racing",Blue Print,Blue Print,"December 21, 2017","January 25, 2018","February 22, 2018"
12 Is Better Than 6,Adventure,Ink Stains Games,HypeTrain Digital,Unreleased,"March 5, 2019","March 5, 2019"
12 Labours of Hercules,Adventure,"JetDogs,Zoom Out Games",JetDogs,Unreleased,"March 24, 2019","April 1, 2019"
12 Labours of Hercules II: The Cretan Bull,Adventure,"JetDogs,Zoom Out Games",JetDogs,Unreleased,"April 6, 2020","April 6, 2020"
12 Orbits,Party,Roman Uhilg,Roman Uhilg,"April 26, 2018","April 27, 2018","April 27, 2018"
112th Seed,"Platformer,Puzzle,Action","Nerd Games,Slider Games",EastAsiaSoft,"August 6, 2020","August 6, 2020","August 6, 2020"
140,Action,Carlsen Games,Carlsen Games,Unreleased,"January 9, 2020","January 9, 2020"
1001 Ultimate Mahjong 2,Puzzle,Nawia Games,Nawia Games,Unreleased,"October 25, 2018","October 25, 2018"
1917: The Alien Invasion DX,Action,Andrade Games,Korion,Unreleased,"June 14, 2018","June 14, 2018"
1971 Project Helios,Turn-based strategy,Reco Technology,Reco Technology,Unreleased,"June 9, 2020","June 9, 2020"
1979 Revolution: Black Friday,Adventure,Ink Stories,Ink Stories,Unreleased,"August 2, 2018","August 2, 2018"
198X,Arcade,Hi-Bit Studios,"JP: Hachinoyon,WW: Hi-Bit Studios","January 23, 2020","January 23, 2020","January 23, 2020"
1993 Shenandoah,Arcade,Limit Break,Limit Break,Unreleased,"July 9, 2020","July 9, 2020"
2048 Battles,Party,Baltoro Games,Baltoro Games,Unreleased,"September 20, 2019","September 20, 2019"
2048 Cat,Puzzle,Millo Games,Millo Games,Unreleased,"December 23, 2019","December 23, 2019"
